노선,명칭,위치-이정,방향,주차면-소형,주차면-대형,화장실,휴게소명,휴게소와 거리(km)
경부선,오산,379.6,부산,12,,,기흥휴게소,8.4 
경부선,오산,379.6,서울,17,,○,안성휴게소,10.6 
경부선,남사,371.8,부산,11,,○,안성휴게소,10.5 
경부선,원곡,361.1,서울,16,,○,안성휴게소,7.9 
경부선,연곡,355,부산,40,13,○,안성휴게소,6.3 
경부선,입장,350.4,부산,12,,,망향휴게소,6.8 
경부선,신탄진,280.1,부산,13,,○,죽암휴게소,7.7 
경부선,옥천,261.8,부산,7,,○,옥천휴게소,6.1 
경부선,옥천,263.1,서울,7,,,옥천휴게소,7.4 
경부선,추풍령,214.6,부산,14,,,추풍령휴게소,2.5 
경부선,추풍령,214.6,서울,12,,,추풍령휴게소,2.5 
경부선,봉산,207.4,부산,7,,,추풍령휴게소,4.7 
경부선,봉산,207.1,서울,7,,,추풍령휴게소,5.0 
경부선,대신,189.9,부산,7,,,김천휴게소,3.6 
경부선,대신,189.9,서울,10,,,김천휴게소,4.1 
경부선,선기,178,부산,20,,○,김천휴게소,15.5 
경부선,선기,178,서울,20,,○,김천휴게소,16.0 
경부선,석적,162.6,서울,7,,,칠곡휴게소,5.6 
경부선,검단,131.5,부산,15,,○,평사휴게소,24.9 
경부선,검단,131.5,서울,23,,○,경산휴게소,20.9 
경부선,삼남,37.5,서울,7,,,언양휴게소,6.1 
경부선,양산,13.7,서울,7,,○,양산휴게소,2.7 
서해안선,서서울,327.5,목포,10,5,○,,
서해안선,서서울,327.5,서울,38,15,○,,
서해안선,향남,293.4,목포,10,,,화성휴게소,8.0 
서해안선,당진,265.9,목포,13,,○,행담도휴게소,9.4 
서해안선,당진,265.6,서울,13,,○,행담도휴게소,9.7 
서해안선,용연,257.9,서울,7,,,행담도휴게소,17.4 
서해안선,해미,230.8,목포,7,,,서산휴게소,10.4 
서해안선,해미,229.2,서울,7,,,홍성휴게소,9.2 
서해안선,광천,211.4,서울,7,,,홍성휴게소,8.6 
서해안선,무창포,186.4,서울,7,,○,대천휴게소,11.6 
서해안선,춘장대,176.1,목포,7,,○,서천휴게소,8.1 
서해안선,춘장대,176.4,서울,7,,,서천휴게소,8.4 
서해안선,동서천,154.8,목포,7,,,군산휴게소,13.2 
