정체구분,노선,정체구간,연장(km)
평일주말정체,서울외곽선,광암TN→송파,7.1
평일주말정체,서울외곽선,노오지(분)→서운(분),5.3
평일주말정체,서울외곽선,서운(분)→중동,2.1
평일주말정체,서울외곽선,장수→송내,2.4
평일주말정체,경부선,기흥→수원신갈,5.2
평일주말정체,경부선,대왕판교→양재,9.2
평일주말정체,영동선,월곶(분)→서창(분),5.3
평일주말정체,영동선,북수원→둔대(분),8.1
평일주말정체,영동선,신갈(분)→동수원,4.9
평일주말정체,호남선,동광주→용봉,2.8
평일주말정체,서해안선,일직(분)→금천,4.2
평일정체,서울외곽선,송파→서하남,5
평일정체,서울외곽선,하남(분)→상일,2.6
평일정체,서울외곽선,퇴계원→강일,8.1
평일정체,서울외곽선,판교(분)→청계(영),6.6
평일정체,서울외곽선,계양→노오지(분),3.1
평일정체,서울외곽선,김포(영)→노오지(분),2.8
평일정체,서울외곽선,조남(분)→도리(분),4.4
평일정체,서울외곽선,조남(분)→산본,5.3
평일정체,서울외곽선,평촌→산본,4.1
평일정체,서울외곽선,학의(분)→청계TN,3.6
평일정체,영동선,서창(분)→월곶(분),5.3
평일정체,서해안선,금천→일직(분),4.2
평일정체,호남선,동림→서광주,2.2
평일정체,경인선,도화→가좌,2.6
평일정체,경인선,부천→신월,4.9
평일정체,경인선,부평→가좌,7.9
주말정체,경부선,북천안→안성(분),16.4
주말정체,경부선,안성(분)→오산,13.3
주말정체,서해안선,서평택(분)→서평택,6.7
주말정체,서해안선,당진(분)→송악,17.4
주말정체,서해안선,송악→서평택(분),19.2
주말정체,영동선,둔대(분)→안산(분),4.7
주말정체,영동선,여주→호법(분),21.2
주말정체,남해선,칠원(분)→북창원,8.8
주말정체,중부내륙선,감곡→여주(분),14.5
